Date,iShares Core S&P 500 UCITS ETF (Acc)
1988-01,100
1988-02,100
1988-03,95.5987516869949
1988-04,96.08241189100208
1988-05,97.86889879376258
1988-06,106.16513150494023
1988-07,111.09621871342925
1988-08,109.73210486415127
1988-09,113.57633997723072
1988-10,113.85075377386293
1988-11,107.7839508799977
1988-12,109.77829440758339
1989-01,122.48201297748186
1989-02,120.91080783596445
1989-03,124.55316156583379
1989-04,131.7437719135828
1989-05,142.9566818244677
1989-06,144.706255290698
1989-07,150.8884059125071
1989-08,156.21008450172332
1989-09,157.9580129427708
1989-10,148.47663137246187
1989-11,149.32760410461498
1989-12,146.61633465916782
1990-01,132.76065449809883
1990-02,132.68628291289227
1990-03,138.58355350602832
1990-04,133.39145197179508
1990-05,144.00080406932122
1990-06,143.98913705734694
1990-07,139.18981642735855
1990-08,121.03174429499961
1990-09,115.32646059526955
1990-10,111.46296368286895
1990-11,116.3164919770969
1990-12,120.96289297680282
1991-01,126.53782445704316
1991-02,133.32666021762685
1991-03,148.62443676202955
1991-04,156.91062620684278
1991-05,165.86202212716142
1991-06,164.15651549990247
1991-07,172.02232407312013
1991-08,172.21108344687954
1991-09,164.64801112852987
1991-10,166.63192892620907
1991-11,153.92711869638134
1991-12,166.07379139650195
1992-01,164.1204391324035
1992-02,169.90491014081886
1992-03,171.04532951320277
1992-04,174.4707051227235
1992-05,171.9614058039551
1992-06,164.5467767040447
1992-07,163.11116727053536
1992-08,155.73418252830638
1992-09,161.19586734856296
1992-10,168.47256572217742
1992-11,185.6117594303921
1992-12,187.75808157994481
1993-01,193.01245761995204
1993-02,200.50870346834284
1993-03,205.7347822609783
1993-04,193.91961960887903
1993-05,199.58567661251888
1993-06,205.99980745213594
1993-07,213.85997887420464
1993-08,223.6591797610509
1993-09,213.1075810097043
1993-10,220.05792650719945
1993-11,223.79841256785127
1993-12,226.39177494353606
1994-01,237.25053746307503
1994-02,229.90800354289155
1994-03,215.3247848783345
1994-04,218.70573465269047
1994-05,217.5060102603008
1994-06,208.71806958064343
1994-07,208.91341891983907
1994-08,217.71794457448368
1994-09,210.10642591876015
1994-10,210.706675903227
1994-11,206.04008249507888
1994-12,213.36268980034544
1995-01,214.4096589375941
1995-02,220.31171391375145
1995-03,217.987316782996
1995-04,220.09909831754575
1995-05,232.42194432128338
1995-06,235.82268008758658
1995-07,240.7979895241376
1995-08,248.69918912962342
1995-09,262.5051996038252
1995-10,257.48266494070594
1995-11,269.34879790710823
1995-12,278.8698260025845
1996-01,291.8469139866291
1996-02,296.22711608190417
1996-03,298.87163620125375
1996-04,305.84496411094057
1996-05,317.5205407999768
1996-06,316.24373187866075
1996-07,297.6589867898265
1996-08,301.1644962999371
1996-09,320.85805302867846
1996-10,330.71298031636303
1996-11,351.1243727047883
1996-12,351.7665514872129
1997-01,383.8864685771927
1997-02,403.72922691546717
1997-03,391.610498022431
1997-04,417.2245349353799
1997-05,441.2477286663178
1997-06,466.1713408978937
1997-07,517.2390206529598
1997-08,502.1583890748471
1997-09,515.7366508611052
1997-10,489.4363215476068
1997-11,501.5241400468911
1997-12,523.8722460282609
1998-01,541.8207539048772
1998-02,579.5865623638605
1998-03,611.479491422013
1998-04,613.4130739282333
1998-05,593.6494253664283
1998-06,622.2157694975077
1998-07,617.0102224656046
1998-08,525.6146750765364
1998-09,533.1640273990106
1998-10,555.203245301596
1998-11,605.8626698154136
1998-12,636.6517992419707
1999-01,684.9097386178681
1999-02,685.6289975850195
1999-03,731.3388605145996
1999-04,770.0147597274246
1999-05,761.9225162431085
1999-06,814.1297817511524
1999-07,761.6687354234688
1999-08,766.5318057155281
1999-09,739.0410962267376
1999-10,801.7030116781006
1999-11,846.7932263260425
1999-12,901.168334435303
2000-01,878.1299915396248
2000-02,868.2858779855062
2000-03,969.2434436076475
2000-04,988.4535140520771
2000-05,945.4272173673718
2000-06,943.0326726070749
2000-07,959.6687090190569
2000-08,1057.7905816924
2000-09,1018.0025506898093
2000-10,1055.5544992508967
2000-11,942.3775785014053
2000-12,883.7349160370159
2001-01,916.2151943716881
2001-02,836.6751121017828
2001-03,820.5336436572425
2001-04,879.8635619429313
2001-05,927.0736603993288
2001-06,904.4533154222819
2001-07,867.3702869303944
2001-08,777.238185465428
2001-09,716.5424021311492
2001-10,737.3507381869834
2001-11,806.7169645815698
2001-12,821.5859880939822
2002-01,826.043978577655
2002-02,808.7577835344778
2002-03,832.103879969737
2002-04,756.9605402354432
2002-05,721.0049727817777
2002-06,630.129854371463
2002-07,592.3741532410264
2002-08,593.200925861835
2002-09,527.2458806294488
2002-10,573.3903240618882
2002-11,603.2525959332116
2002-12,537.4591513479995
2003-01,507.4275082520674
2003-02,501.35932107217394
2003-03,500.94934310781224
2003-04,530.6866307813211
2003-05,525.9606343832361
2003-06,551.0548649825352
2003-07,566.1387447816732
2003-08,597.798826970134
2003-09,554.614508333396
2003-10,587.471699670535
2003-11,574.2253965412025
2003-12,573.8734291837204
2004-01,595.9826096516232
2004-02,602.5764732925962
2004-03,602.8696171038031
2004-04,607.1285021932684
2004-05,602.759160206751
2004-06,616.6213532163646
2004-07,601.9196712488548
2004-08,600.727854515854
2004-09,592.6157088849023
2004-10,586.1410224639766
2004-11,584.2275370704289
2004-12,589.6151096776205
2005-01,601.0673764604278
2005-02,603.4051148888711
2005-03,606.0822558227254
2005-04,594.8721419095094
2005-05,644.9271630209626
2005-06,658.5701188256286
2005-07,682.9660490157124
2005-08,670.8702057163803
2005-09,685.0229616178895
2005-10,674.6275648510015
2005-11,715.2148280659261
2005-12,713.7250462817478
2006-01,713.1750472289212
2006-02,729.7025531359865
2006-03,724.7664194637536
2006-04,709.0855374176396
2006-05,670.9224583009634
2006-06,679.9822085765935
2006-07,681.2463474063666
2006-08,692.8565823235516
2006-09,721.3922137789722
2006-10,742.7434312934897
2006-11,727.9285076069287
2006-12,739.7778793894965
2007-01,763.4440062563833
2007-02,733.9044959328766
2007-03,736.1094258856358
2007-04,752.4581066504795
2007-05,787.4682564219892
2007-06,771.3589095448278
2007-07,736.3820357670706
2007-08,747.48533909341
2007-09,749.4751716171675
2007-10,747.229102103787
2007-11,700.7143337412772
2007-12,697.7033706155216
2008-01,649.2419201461906
2008-02,615.8142376742053
2008-03,588.1066405795692
