Date,iShares Physical Gold ETC
1978-11,100
1978-12,100
1979-01,104.8377121252989
1979-02,113.2669109662554
1979-03,108.1768565380337
1979-04,111.74252117365377
1979-05,126.46259951992867
1979-06,126.29743134019147
1979-07,130.07856200065015
1979-08,138.671204195629
1979-09,172.92667734506438
1979-10,166.98953374982415
1979-11,180.95793932669255
1979-12,223.00951313085403
1980-01,275.1607892030039
1980-02,270.8902271145353
1980-03,221.42910480077535
1980-04,234.71760830530616
1980-05,232.12416065421917
1980-06,279.1163740100236
1980-07,259.08493345899393
1980-08,271.5300360026375
1980-09,286.108974270151
1980-10,276.686809842301
1980-11,282.1593378335481
1980-12,276.8320496489998
1981-01,238.54912327433584
1981-02,245.9768055163506
1981-03,258.58049310395705
1981-04,249.41190531235432
1981-05,262.709399656914
1981-06,242.43832307019838
1981-07,238.07710125134204
1981-08,255.96274128553472
1981-09,246.47787835946693
1981-10,238.18250193088056
1981-11,228.7096428807436
1981-12,223.72823122489214
1982-01,219.74831596593373
1982-02,212.7376541324363
1982-03,191.15435180576364
1982-04,219.11492894966094
1982-05,190.52672257892138
1982-06,196.7705736262802
1982-07,217.05886582989018
1982-08,262.065989044823
1982-09,255.18010936406364
1982-10,275.2581324796931
1982-11,288.2787542491146
1982-12,283.9985019322753
1983-01,314.39283180891783
1983-02,261.8080077966645
1983-03,267.1314113549851
1983-04,280.4320369563562
1983-05,287.58031811122123
1983-06,281.80095423315305
1983-07,289.7184940894597
1983-08,293.5938911384077
1983-09,287.1937843257439
1983-10,266.3967943992296
1983-11,289.9624629596384
1983-12,280.0320845207993
1984-01,280.4720875690291
1984-02,286.75534896154966
1984-03,272.47804668935856
1984-04,268.2042001491172
1984-05,284.38663329340653
1984-06,276.01852322276784
1984-07,262.8374782329109
1984-08,270.3548236982161
1984-09,279.4491339910484
1984-10,276.023271860175
1984-11,265.15451849347556
1984-12,258.27446482378144
1985-01,263.1446328346195
1985-02,256.1149074625626
1985-03,293.70630349134217
1985-04,266.8116914972652
1985-05,262.5130372295073
1985-06,261.00331760651596
1985-07,255.87631341639892
1985-08,251.4175810439374
1985-09,249.7272585831013
1985-10,233.8994768254645
1985-11,229.5044467641517
1985-12,225.2506629660069
1986-01,236.44612638283292
1986-02,219.1278830087738
1986-03,216.76201477722896
1986-04,219.00135328958834
1986-05,213.59180180081373
1986-06,216.66501422180684
1986-07,216.83013258782975
1986-08,226.32297289848682
1986-09,247.02544534931096
1986-10,231.46300806522456
1986-11,227.12486166727726
1986-12,224.69667158599194
1987-01,216.397132448037
1987-02,215.413218427657
1987-03,223.08479734695047
1987-04,237.03976585327106
1987-05,233.0016782978419
1987-06,235.22761724465911
1987-07,246.73257641326828
1987-08,243.7475297740842
1987-09,240.58013563185466
1987-10,243.6657838162261
1987-11,240.5085589528139
1987-12,230.34961034964724
1988-01,219.1223361190466
1988-02,209.76433696228398
1988-03,221.8646399600293
1988-04,216.6868278497319
1988-05,221.9724383964929
1988-06,220.62374284849272
1988-07,231.85544850001415
1988-08,232.12140546417325
1988-09,213.68463074221324
1988-10,216.62632494166516
1988-11,213.1693858116712
1988-12,207.0826431407481
1989-01,206.7886854044811
1989-02,205.60923445823212
1989-03,204.9239111907176
1989-04,202.99623525821633
1989-05,202.85595785454655
1989-06,212.8794639208258
1989-07,201.0026498072973
1989-08,199.37444443201343
1989-09,206.17404925563724
1989-10,203.14834575278266
1989-11,217.7387882769818
1989-12,205.09100170285345
1990-01,206.02899279163836
1990-02,199.67337828831998
1990-03,183.60877584853608
1990-04,180.86420234331868
1990-05,175.61309587313156
1990-06,171.49165713084506
1990-07,175.78170648801517
1990-08,174.99534647898005
1990-09,184.59470237849905
1990-10,166.4770756591634
1990-11,165.45964355024017
1990-12,170.06590906425495
1991-01,159.56137684590462
1991-02,155.46832613747605
1991-03,165.90596002683583
1991-04,175.75583811344296
1991-05,179.39896669423908
1991-06,190.16717094739522
1991-07,187.5416539161021
1991-08,175.57603462500055
1991-09,174.3900812286619
1991-10,175.38364975772816
1991-11,172.97609254734593
1991-12,161.55765675835553
1992-01,162.99268489584048
1992-02,166.0952544217955
1992-03,165.00332250841512
1992-04,160.92896474984755
1992-05,158.3672265018061
1992-06,156.4993500739112
1992-07,155.30194540717994
1992-08,143.81002684589677
1992-09,151.00417466880364
1992-10,152.8675198055246
1992-11,160.43346222169788
1992-12,159.68065615601023
1993-01,161.57584982978173
1993-02,164.14776860287887
1993-03,170.06582654726552
1993-04,172.27675401694768
1993-05,183.95859400158636
1993-06,189.79950369057488
1993-07,210.00029686021196
1993-08,195.66508913141672
1993-09,179.73872971931428
1993-10,189.03284725995323
1993-11,194.76250607073544
1993-12,205.011677423791
1994-01,200.97721655126068
1994-02,202.10603657768368
1994-03,201.8639927653091
1994-04,195.78516032389786
1994-05,197.220551200005
1994-06,194.3121914820545
1994-07,186.23129320657034
1994-08,187.2654455163988
1994-09,189.59938237060297
1994-10,180.76482451859664
1994-11,183.06570997860754
1994-12,186.48819413480217
1995-01,179.01759503136972
1995-02,177.73814712267512
1995-03,177.88374437950117
1995-04,173.45077781862065
1995-05,173.64032604114786
1995-06,173.39625429479136
1995-07,169.7156064410108
1995-08,174.37114108383503
1995-09,177.34277207040537
1995-10,173.94210398801243
1995-11,176.63655752295085
1995-12,178.89700346454757
1996-01,189.86700596033646
1996-02,188.62073615811158
1996-03,186.4474281930945
1996-04,185.61179864813826
1996-05,187.47391470653673
1996-06,181.91796961156223
1996-07,180.6726022503779
1996-08,179.54041187609076
1996-09,177.57692868321845
1996-10,178.33621635598848
1996-11,172.21517632258946
1996-12,175.16986829186808
1997-01,168.19661820330313
1997-02,182.15322944779146
1997-03,178.86899109028462
1997-04,175.6812873330073
1997-05,177.92176877884984
1997-06,174.1398687212771
1997-07,174.57041355352365
1997-08,178.97192787401954
1997-09,177.86539884283027
1997-10,163.72358284047073
1997-11,152.81005981734023
1997-12,152.89030910973977
1998-01,164.84669321744715
1998-02,160.43770555858478
1998-03,162.952856474902
1998-04,167.03924543678326
1998-05,155.41535061290796
1998-06,157.95900261754278
1998-07,154.32666174716198
1998-08,145.45193478650467
1998-09,149.01531713734906
1998-10,142.72988330700426
1998-11,148.0431277989593
1998-12,143.45639722365215
1999-01,147.06495520348142
1999-02,152.8054068145236
1999-03,152.55766562342205
1999-04,158.57772121814224
1999-05,150.59721951719445
1999-06,148.12586276808642
1999-07,140.07304642882352
1999-08,141.21046782623324
1999-09,164.25436391018405
1999-10,167.61569097254346
1999-11,169.00271504623205
1999-12,169.19260976700576
2000-01,169.41551931100162
2000-02,176.97004060277712
2000-03,169.56801539232526
2000-04,177.18093914837416
2000-05,171.2395215982873
2000-06,176.41474458916952
2000-07,175.1450298343502
2000-08,181.90892944477838
2000-09,182.57107101808984
2000-10,183.73354629550892
2000-11,181.15246746651704
2000-12,171.26427014960757
2001-01,166.33229750151816
2001-02,168.50553485836886
2001-03,170.4615233369588
2001-04,173.1766793934761
2001-05,184.23266284321988
2001-06,186.33852539987967
2001-07,177.32119407114598
2001-08,174.0164900445033
2001-09,187.3535854832546
2001-10,179.90502838969877
2001-11,180.65652773242348
2001-12,183.0323926885468
2002-01,190.65075943753527
2002-02,200.12245339076833
2002-03,201.45792952526196
2002-04,199.4764318768451
