Date,iShares MSCI ACWI UCITS ETF (Acc)
1987-11,100
1987-12,100
1988-01,103.60545472938796
1988-02,112.78568677793147
1988-03,114.709387172007
1988-04,115.49554385858994
1988-05,114.34628316374697
1988-06,118.4908578645948
1988-07,126.78407404582858
1988-08,122.52133565788219
1988-09,126.87393656519082
1988-10,131.84737505938628
1988-11,130.8817597007774
1988-12,132.2119223193068
1989-01,142.41442350093203
1989-02,143.3108684310818
1989-03,143.4545389286424
1989-04,147.86161170901497
1989-05,150.5545452138278
1989-06,151.12003482696872
1989-07,160.84338902663285
1989-08,159.46974219887022
1989-09,166.79447458470895
1989-10,155.32785083808434
1989-11,159.10586015767765
1989-12,157.54966683318816
1990-01,145.88792444940395
1990-02,137.8926961524694
1990-03,131.6273489348557
1990-04,128.29236248476445
1990-05,139.36548555069538
1990-06,139.34483598612272
1990-07,136.4892339289906
1990-08,118.1962639473587
1990-09,106.00348871217412
1990-10,112.34904953557597
1990-11,108.26305922636416
1990-12,111.88901164173113
1991-01,116.29743840234785
1991-02,125.09946429084343
1991-03,132.34416805245763
1991-04,140.55171965224582
1991-05,145.81591358514407
1991-06,142.00811347753037
1991-07,148.94326856316007
1991-08,145.34798040081833
1991-09,144.9133886986729
1991-10,147.21682473784304
1991-11,135.58809354331345
1991-12,141.0093648819012
1992-01,139.85651118149164
1992-02,140.7617119412642
1992-03,138.06784311826024
1992-04,138.63445843710116
1992-05,141.17348061107867
1992-06,132.22020667131784
1992-07,126.31071519787967
1992-08,125.86539789347883
1992-09,127.65484406828739
1992-10,129.69149397596402
1992-11,140.46628523549137
1992-12,141.67986824455045
1993-01,144.93436190415918
1993-02,152.01481911884372
1993-03,161.51634254316852
1993-04,163.08016879179416
1993-05,167.29556057076718
1993-06,171.03268022305153
1993-07,181.95533940631904
1993-08,192.00939606571856
1993-09,181.25195270458738
1993-10,188.7802320735
1993-11,183.74181489690446
1993-12,193.5632257621823
1994-01,209.1663065656328
1994-02,205.3150943744778
1994-03,192.00174517423994
1994-04,197.76301823117888
1994-05,194.62053039140116
1994-06,190.4979596952713
1994-07,188.68156221288496
1994-08,195.59546319019063
1994-09,188.9231370273687
1994-10,190.03049051655296
1994-11,184.44914759717918
1994-12,188.8474374646499
1995-01,181.19209554462785
1995-02,181.09259732232053
1995-03,181.99805991071239
1995-04,184.97863485932268
1995-05,189.87952892381472
1995-06,188.30524588671798
1995-07,195.090702104593
1995-08,196.56426572327052
1995-09,204.5305584971793
1995-10,197.94931508335688
1995-11,204.58441995679772
1995-12,214.04836447838227
1996-01,221.42741944207677
1996-02,223.5901156562863
1996-03,226.85000913177655
1996-04,234.3327904717287
1996-05,237.38154932616905
1996-06,236.79286307132392
1996-07,224.4457349301727
1996-08,225.11654665768222
1996-09,235.41518638845747
1996-10,237.05261433282053
1996-11,246.48100105201488
1996-12,248.2461734930204
1997-01,259.2348039594171
1997-02,274.1744154104982
1997-03,271.76300648251157
1997-04,281.97236193415443
1997-05,297.83505124357424
1997-06,316.5433835469361
1997-07,340.00915891138175
1997-08,325.1145647124429
1997-09,333.41747144844004
1997-10,307.81766017149056
1997-11,306.0437503615164
1997-12,318.3766308283365
1998-01,332.816736340339
1998-02,354.74579051907097
1998-03,371.1862922559443
1998-04,372.0660750434499
1998-05,359.3853335900425
1998-06,368.45717999555416
1998-07,369.3881264540764
1998-08,316.279198378165
1998-09,307.4694577415941
1998-10,323.1030634675903
1998-11,352.5816814227935
1998-12,366.5434277925764
1999-01,386.19603545742524
1999-02,388.9317922960493
1999-03,416.8034123340235
1999-04,440.690948647536
1999-05,430.7778047091281
1999-06,457.7577317995229
1999-07,440.20809558810873
1999-08,444.6380341322602
1999-09,435.9759604495358
1999-10,467.273683430871
1999-11,498.7018967138501
1999-12,542.9073726542509
2000-01,526.9074641647552
2000-02,532.7998042908897
2000-03,577.3062381204752
2000-04,579.7196507012845
2000-05,551.3463778544977
2000-06,554.8506858108364
2000-07,556.698989411602
2000-08,595.6326592522132
2000-09,571.8744734578627
2000-10,583.7720858239879
2000-11,530.6721994633479
2000-12,503.4404562298
2001-01,516.7515937160906
2001-02,475.48944790287396
2001-03,464.29106640094705
2001-04,495.5625463417499
2001-05,512.8391098622332
2001-06,497.0416398989725
2001-07,473.75888814226266
2001-08,432.0178197960823
2001-09,393.6440933044273
2001-10,405.90023167890985
2001-11,437.7682656671501
2001-12,446.0601933811275
2002-01,442.60423364803046
2002-02,438.5682614641804
2002-03,454.46474191025703
2002-04,426.1209436931516
2002-05,409.42310210375445
2002-06,361.70782920799826
2002-07,337.81706986526694
2002-08,336.9118238431315
2002-09,299.08085103317325
2002-10,320.9244879915538
2002-11,336.27767150600397
2002-12,303.0883299966566
2003-01,285.2418604717102
2003-02,281.07919417350683
2003-03,277.0656684285825
2003-04,295.3631702923162
2003-05,294.233360418754
2003-06,310.2015287702075
2003-07,320.08732572765933
2003-08,339.3577073351936
2003-09,320.21865345442825
2003-10,340.4677327817982
2003-11,334.90553002946007
2003-12,338.1517465591633
2004-01,350.7225744812567
2004-02,356.15830974542234
2004-03,359.8246844854366
2004-04,359.65644728033317
2004-05,355.1672930883848
2004-06,363.5679122007406
2004-07,355.36612481202076
2004-08,355.4880370534799
2004-09,354.20166585687537
2004-10,353.53700670514826
2004-11,357.24469880935624
2004-12,362.2265624696193
2005-01,370.50235749361326
2005-02,377.0265228907287
2005-03,377.14405269906376
2005-04,369.21372465640343
2005-05,395.43053830651354
2005-06,407.43502793220944
2005-07,422.50658536546024
2005-08,422.17510877999325
2005-09,440.5600977366665
2005-10,429.38014317427564
2005-11,454.7735824114912
2005-12,464.88869937479427
2006-01,474.87577639372313
2006-02,483.99907113403435
2006-03,484.9540029763255
2006-04,483.94520899415994
2006-05,453.22627418776347
2006-06,458.6650670314526
2006-07,459.8786795083396
2006-08,468.87146408183264
2006-09,481.5437050294566
2006-10,498.2020757226367
2006-11,492.8796310529936
2006-12,505.06895105636704
2007-01,518.626079857115
2007-02,505.9717152477172
2007-03,512.0999059510006
2007-04,523.7434272370646
2007-05,545.8129637828202
2007-06,542.2167180020614
2007-07,526.1012067038617
2007-08,524.8576694292261
2007-09,534.6181946264636
2007-10,545.1875600813239
2007-11,510.12556813153384
2007-12,505.8992908782047
2008-01,459.8411574776503
2008-02,452.2461483326546
2008-03,427.5516293270429
2008-04,459.551565020378
2008-05,468.1434340701745
2008-06,422.7995118727249
2008-07,415.9199804428075
2008-08,431.27253185844364
2008-09,388.8746800099808
2008-10,349.6495487640863
2008-11,327.61281015080067
2008-12,310.5513331848622
2009-01,308.469806121692
2009-02,282.1940835802268
2009-03,290.2991179110516
2009-04,325.5926287783065
2009-05,337.44301350761026
2009-06,334.7754873525283
2009-07,364.2035249921881
2009-08,373.7773184019468
2009-09,381.07542572720126
2009-10,371.21933955917956
2009-11,380.85129619167554
2009-12,405.4408009423623
2010-01,400.15449767186647
2010-02,417.1639883753427
2010-03,447.1360692120967
2010-04,453.56626117653985
2010-05,444.5489305780622
2010-06,432.20004522413075
2010-07,440.2681896553614
2010-08,436.64449221399053
2010-09,444.55477740881184
2010-10,453.68921828460907
2010-11,473.03434442888533
2010-12,493.9018576884624
2011-01,489.589272959756
2011-02,498.7913539731686
2011-03,485.32939028727367
2011-04,483.1724525885243
2011-05,488.7840635248281
2011-06,478.92634526759656
2011-07,477.58180313805934
2011-08,436.987884325329
2011-09,423.58195063126965
2011-10,452.3233453821915
2011-11,458.00788773677675
2011-12,474.09059803510326
2012-01,492.68457350088926
2012-02,507.35640497908787
2012-03,514.2182716669287
2012-04,514.051200028703
2012-05,498.96570907195263
2012-06,515.9930533555022
2012-07,536.1747160173289
2012-08,533.8002846058092
2012-09,537.157859730755
2012-10,531.0381856932241
2012-11,538.2872033658214
2012-12,541.9685818016416
2013-01,552.1022677100442
2013-02,569.8838152458445
2013-03,595.1707476488277
2013-04,599.9623118773064
2013-05,601.7597517486579
2013-06,581.0094647753931
2013-07,599.9671557231624
2013-08,589.3956419159515
2013-09,607.572004620206
2013-10,625.7240147853905
2013-11,636.1451740856043
2013-12,638.7842168887483
2014-01,625.7482508950865
2014-02,642.0741467343806
2014-03,646.3338124115907
2014-04,649.7981858398409
2014-05,675.9355751677987
2014-06,686.2701602669583
2014-07,692.1819268819813
2014-08,717.8911744992221
2014-09,728.1792317135463
2014-10,736.8062323957512
2014-11,751.7848535429928
2014-12,758.2431435458326
2015-01,801.6393451137731
2015-02,851.3967024779512
2015-03,876.0670152517965
2015-04,865.0984925720799
2015-05,883.8086152887373
2015-06,846.3471218931925
2015-07,871.151222729372
2015-08,793.6895884060714
2015-09,765.9744209111747
2015-10,840.1174878509712
2015-11,867.9250721782576
2015-12,828.3716746038036
2016-01,776.1160027036868
2016-02,773.3461744068403
2016-03,794.7773191779626
2016-04,805.5719130750725
2016-05,825.1571530065098
2016-06,824.3023531454619
2016-07,859.0861477024409
2016-08,860.7789040684631
2016-09,864.032979317164
2016-10,866.1179359672327
2016-11,898.5133844616398
2016-12,926.3186821238615
2017-01,932.7516822980461
2017-02,973.4814779949029
2017-03,977.2079014606405
2017-04,971.0151360645051
2017-05,967.3942385096186
2017-06,955.7617364072158
2017-07,956.2609379489733
2017-08,952.2738892647211
2017-09,972.4312340886396
2017-10,1007.0184390235297
2017-11,1008.5171682223279
2017-12,1012.6395918581129
2018-01,1029.956078186651
2018-02,1006.5660066862836
2018-03,976.894583064186
2018-04,1006.3819371707883
2018-05,1041.0963309659485
2018-06,1039.342831353159
2018-07,1063.7326011484377
2018-08,1080.2142941202917
2018-09,1092.2100868317243
2018-10,1033.4559716885058
2018-11,1045.1019208756293
2018-12,964.0152457732363
2019-01,1036.827997782617
2019-02,1071.5749342925126
2019-03,1103.0303087654625
2019-04,1142.4036104060801
2019-05,1081.8610131496778
2019-06,1129.8196455961584
2019-07,1156.6089510375064
2019-08,1141.2792455014023
2019-09,1181.3657936125971
2019-10,1184.9629769166831
2019-11,1233.2187568189718
2019-12,1248.3052735571139
2020-01,1254.95676494874
2020-02,1161.756075154639
2020-03,1007.3524132311193
2020-04,1123.8141120042887
2020-05,1145.7877539651465
2020-06,1176.1568650517868
2020-07,1170.6711311142124
2020-08,1232.993341578683
2020-09,1217.1423361843408
2020-10,1188.6643304905824
2020-11,1303.9851033706943
2020-12,1332.420120102565
2021-01,1341.2177197348256
2021-02,1374.159719855021
2021-03,1459.0388866160995
2021-04,1478.176677352659
2021-05,1487.0798469181925
2021-06,1547.1204906259304
