Date,iShares Edge MSCI World Value Factor UCITS ETF
1997-10,100
1997-11,100
1997-12,101.59985718172584
1998-01,104.16625661656309
1998-02,117.08261953883672
1998-03,121.63385879176053
1998-04,117.65111289523622
1998-05,112.17433205548137
1998-06,109.0882683334664
1998-07,104.97652973973887
1998-08,90.003107471455
1998-09,86.416549152174
1998-10,98.70593467683969
1998-11,106.56618044798282
1998-12,108.4494503048381
1999-01,113.6119036690873
1999-02,112.78404792964571
1999-03,123.629810172744
1999-04,137.1899055299092
1999-05,135.62500569585575
1999-06,144.69909042920182
1999-07,142.53319145492836
1999-08,144.717426100298
1999-09,141.21177856108594
1999-10,149.8013341139803
1999-11,162.14370182574442
1999-12,177.32383668134793
2000-01,169.67597531502554
2000-02,167.3996725939248
2000-03,177.09844354889145
2000-04,185.9738260419445
2000-05,178.89371438242938
2000-06,178.63706010938503
2000-07,181.017551002032
2000-08,196.5193791021817
2000-09,192.5950542857702
2000-10,201.00930067077778
2000-11,189.990184116358
2000-12,186.81150887354573
2001-01,195.37718936027576
2001-02,191.0633693852189
2001-03,191.96131855111474
2001-04,200.69683850571008
2001-05,208.640213517736
2001-06,206.7575778643529
2001-07,201.6134159576872
2001-08,187.2979784584154
2001-09,168.78481444574072
2001-10,168.70058932977037
2001-11,183.94487476183627
2001-12,187.88204510125868
2002-01,190.09440620244507
2002-02,188.7504942884436
2002-03,198.90216616986635
2002-04,197.03290387944648
2002-05,193.17907084401628
2002-06,168.08950246159435
2002-07,156.46405285767972
2002-08,156.18204460164554
2002-09,138.1060948587358
2002-10,139.9277818029085
2002-11,145.69126329201134
2002-12,133.57137196743926
2003-01,128.70843941285204
2003-02,124.39971651086974
2003-03,121.00373662566696
2003-04,128.36952340917378
2003-05,132.23065114994134
2003-06,142.65821500699832
2003-07,150.80610008101286
2003-08,164.06697656339207
2003-09,159.77467659777747
2003-10,172.88222280929358
2003-11,169.95203483800623
2003-12,173.3189400536107
2004-01,181.72562610735432
2004-02,185.33140909518497
2004-03,193.13930528078367
2004-04,193.94879904218564
2004-05,190.88113654513097
2004-06,199.0539897578384
2004-07,194.72481984274222
2004-08,193.60129289384463
2004-09,194.84995777937118
2004-10,194.22667952953574
2004-11,201.03946795807863
2004-12,205.99677441784164
2005-01,212.0392105328382
2005-02,218.37143954031274
2005-03,218.9750692656865
2005-04,213.28893920820792
2005-05,228.77290279152078
2005-06,237.8613068141533
2005-07,247.1086171214591
2005-08,251.98792980102198
2005-09,266.7340154655136
2005-10,257.7763327024644
2005-11,270.3410073911032
2005-12,277.87723507664134
2006-01,287.61081176190226
2006-02,293.40140651194105
2006-03,296.35228114779585
2006-04,299.66351178935923
2006-05,282.4933932586886
2006-06,285.23655458111824
2006-07,289.34517045968386
2006-08,296.7216858829038
2006-09,305.3568201655788
2006-10,316.11244880528056
2006-11,314.18904509827047
2006-12,325.14560191288416
2007-01,335.0321542154043
2007-02,330.6747353390508
2007-03,336.5222341681106
2007-04,348.26932475771133
2007-05,364.2410339695861
2007-06,362.5283806618175
2007-07,345.75349555680407
2007-08,344.4895098745465
2007-09,347.4957037840943
2007-10,350.6728891650995
2007-11,325.1736551135546
2007-12,319.92988087626844
2008-01,290.4521104130224
2008-02,285.2601025459898
2008-03,271.36295999920884
2008-04,289.8317758137861
2008-05,295.4339421822615
2008-06,264.5333320097584
2008-07,259.0124553517455
2008-08,270.4842545517318
2008-09,237.09820658809227
2008-10,210.3020980926547
2008-11,199.24551937647718
2008-12,193.55005373224984
2009-01,189.37714538141591
2009-02,168.12197196167145
2009-03,173.65423099105777
2009-04,203.70842318432358
2009-05,216.39009093798026
2009-06,214.6380853638326
2009-07,234.79798157127038
2009-08,250.70839256724764
2009-09,255.28150709904625
2009-10,243.617770329236
2009-11,247.40599227375606
2009-12,264.49300879928796
2010-01,261.7584573083657
2010-02,271.0792505679146
2010-03,291.77875762830473
2010-04,291.38647446631296
2010-05,282.82824815367564
2010-06,271.17233458087475
2010-07,280.2216086775957
2010-08,274.85925202127675
2010-09,282.0745669884351
2010-10,289.67725980213896
2010-11,294.1108917173225
2010-12,310.32649910241685
2011-01,317.95109789632335
2011-02,326.05484270825116
2011-03,311.3914259011223
2011-04,312.2704574660001
2011-05,313.3957629656269
2011-06,307.4894709760014
2011-07,301.03771841675086
2011-08,264.87618334423405
2011-09,257.6819591491101
2011-10,274.4301020682249
2011-11,276.03373065612277
2011-12,284.19985165308236
2012-01,297.32113348458915
2012-02,307.02487483175435
2012-03,308.9436078482707
2012-04,300.7158925153989
2012-05,284.81800955393965
2012-06,298.3619558529896
